rank,candidate_id,phase,signal_name,strategy_name,score,tick_pnl,max_drawdown_pct,win_rate_pct,profit_factor,max_consecutive_losing_signals,max_daily_loss,loss_count,worst_single_signal_loss,wins,losses,flats,generated_signals,tick_covered_signals,tick_coverage_pct,no_tick_signals,no_fill_signals,max_loss_signal,passes_dd25_gate,passes_dd40_gate,error
13,af4654658dc95720,june,rsi60_htf_vwap_london_ny,e4_scaleout_low_dd,-8850.16,6.32,6.21,49.59,1.0,8,2842.68,61,495.84,60,61,64,256,185,72.27,71,64,-495.84,True,True,
14,9806c707dff421f2,june,rsi60_htf_vwap_all,tsl18_base,8433.08,19362.08,14.04,42.94,1.472,10,3153.84,101,519.04,76,101,83,353,260,73.65,93,83,-519.04,False,True,
15,1bc73f6bdc2b63f6,june,rsi60_htf_vwap_all,e7_s20_m180_tp3_hold,5525.68,16281.16,16.87,44.07,1.393,10,3090.5,99,498.96,78,99,86,353,263,74.5,90,86,-498.96,False,True,
16,df99eb11bc95e42b,june,rsi60_htf_vwap_all,e6_s21_m150_bep,2995.37,13460.46,13.1,44.63,1.336,10,2951.76,98,502.74,79,98,83,353,260,73.65,93,83,-502.74,False,True,
17,1f1d21331f90f6a2,june,rsi60_htf_vwap_all,e6_scaleout_bep,2995.37,13460.46,13.1,44.63,1.336,10,2951.76,98,502.74,79,98,83,353,260,73.65,93,83,-502.74,False,True,
18,5854db4a16f26e75,june,rsi60_htf_vwap_ny_core,e7_s20_m180_tp3_hold,419.29,5014.8,8.32,42.11,1.281,5,1393.84,44,492.45,32,44,35,150,111,74.0,39,35,-492.45,False,True,
19,cd375abfd07bbbb5,june,rsi60_htf_vwap_ny_core,e6_s21_m150_bep,-49.74,4436.46,7.37,43.42,1.248,5,1355.76,43,495.36,33,43,34,150,110,73.33,40,34,-495.36,False,True,
20,c42a4ce815884d23,june,rsi60_htf_vwap_ny_core,e6_scaleout_bep,-49.74,4436.46,7.37,43.42,1.248,5,1355.76,43,495.36,33,43,34,150,110,73.33,40,34,-495.36,False,True,
21,bccf51c89ed1d58b,june,rsi60_htf_vwap_ny_core,e6_gap05_s18_tp2,-725.9,4447.68,6.07,44.0,1.253,4,1913.82,42,493.08,33,42,34,150,109,72.67,41,34,-493.08,False,True,
22,fed22c5890694383,june,rsi65_bb08_adx18_all,e6_s21_m150_bep,-4299.13,11889.72,24.68,40.98,1.117,12,4275.24,242,502.74,168,242,182,776,592,76.29,184,182,-502.74,False,True,
23,eff17ccb35ca152b,june,rsi65_bb08_adx18_all,e6_scaleout_bep,-4299.13,11889.72,24.68,40.98,1.117,12,4275.24,242,502.74,168,242,182,776,592,76.29,184,182,-502.74,False,True,
24,8135f3576075b4e5,june,trend_pullback_quality_all,e6_scaleout_bep,-5606.72,3538.14,17.02,41.01,1.104,11,2153.64,82,497.16,57,82,72,270,211,78.15,59,72,-497.16,False,True,
25,60681c283fc18740,june,trend_pullback_quality_all,e6_s21_m150_bep,-5606.72,3538.14,17.02,41.01,1.104,11,2153.64,82,497.16,57,82,72,270,211,78.15,59,72,-497.16,False,True,
26,320bff2bf61fa25b,june,trend_pullback_quality_all,e6_gap05_s18_tp2,-9935.77,356.59,18.73,41.73,1.01,11,2732.87,81,496.44,58,81,72,270,211,78.15,59,72,-496.44,False,True,
27,25641e43622d5c13,june,rsi65_bb08_adx18_all,e6_s21_m120_tp2_fastlock,-13398.85,3278.52,25.33,45.85,1.036,11,4580.1,222,502.74,188,222,178,776,588,75.77,188,178,-502.74,False,True,
28,7f92e35cede4ae1f,june,rsi60_htf_vwap_ny_core,tsl18_base,140.36,4758.64,8.8,39.47,1.248,5,1362.56,46,484.32,30,46,34,150,110,73.33,40,34,-484.32,False,False,
29,54137cb314cd64fd,june,trend_pullback_quality_all,tsl18_base,-736.88,8117.6,14.34,38.85,1.232,11,1978.08,85,493.44,54,85,72,270,211,78.15,59,72,-493.44,False,False,
