cell,strategy,entries,sl_multiplier,trailing_open,trailing_close,trail_after_stage,final_target,max_hold,activation_delay,est_jan_edge,tick_oos,est_jan_oos,est_jan_dd,pass_dd40,pass_dd50,f_edge,f_dd,tickmay_edge,tickmay_dd,tickmay_net,m1may_edge,m1may_dd,m1may_net,m1_jan_edge,m1_jan_oos,m1_jan_dd,m1_jan_net,jan_signals
tcal_e7_slm18_to07_tc05_mh300_ad0,TC18,7,1.8,0.7,0.5,,,300,0,73104.7,-1971.89,4434.4,53.38,False,False,0.287,1.0,19859.45,30.5,974567.94,69186.8,30.5,625929374.99,254720.21,15450.87,53.38,1.1560597784977464e+18,10140
tcal_e8_slm17_to07_tc075_mh300_ad2,TC18,8,1.7,0.7,0.75,,,300,2,72315.77,-1710.68,4090.12,59.29,False,False,0.3044,0.9958,19498.01,33.46,709123.01,64053.35,33.6,156057143.68,237568.22,13436.65,59.54,2.3265046079431116e+16,10140
tcal_e8_slm16_to07_tc05_mh300_ad1,TC18,8,1.6,0.7,0.5,,,300,1,72171.91,-1762.99,4336.97,60.33,False,False,0.3077,1.0014,19954.89,36.0,944064.29,64853.82,35.95,299925930.87,234552.83,14094.81,60.25,1.0174047347906634e+17,10140
tcal_e7_slm18_to07_tc075_mh300_ad0,TC18,7,1.8,0.7,0.75,,,300,0,71940.25,-1971.89,4341.7,53.82,False,False,0.2871,1.0,19479.11,30.62,913607.9,67839.87,30.62,503235305.06,250575.58,15122.62,53.82,6.287527218603035e+17,10140
tcal_e8_slm17_to07_tc05_mh300_ad1,TC18,8,1.7,0.7,0.5,,,300,1,70677.06,-1713.0,4118.66,60.1,False,False,0.2962,1.0042,19366.48,33.4,747876.6,65376.71,33.26,195277285.57,238612.61,13905.0,59.85,3.232056572516288e+16,10140
tcal_e8_slm18_to07_tc05_mh300_ad2,TC18,8,1.8,0.7,0.5,,,300,2,69606.27,-2404.01,4315.76,56.61,False,False,0.2802,0.9979,19011.21,29.15,626237.87,67847.49,29.21,176775779.58,248416.37,15402.43,56.73,2.0692844618607276e+16,10140
tcal_e8_slm18_to05_tc05_mh90_ad0,TC18,8,1.8,0.5,0.5,,,90,0,69282.84,-1675.78,3940.69,27.48,True,True,0.295,0.9959,18782.07,27.0,658930.96,63670.35,27.11,171912486.86,234857.1,13358.28,27.59,8118709013514046.0,10140
tcal_e8_slm18_to07_tc075_mh300_ad2,TC18,8,1.8,0.7,0.75,,,300,2,68310.52,-2404.01,4212.68,56.5,False,False,0.2801,0.9905,18587.19,29.28,583573.7,66365.13,29.56,143627263.13,243879.06,15039.93,57.04,1.1532963674255606e+16,10140
tcal_e8_slm18_to07_tc05_mh300_ad1,TC18,8,1.8,0.7,0.5,,,300,1,68026.28,-2406.33,4294.89,57.62,False,False,0.2769,1.0021,18800.76,29.18,623726.72,67894.54,29.12,184142092.68,245670.92,15510.61,57.5,1.6570077976478282e+16,10140
tcal_e8_slm18_to07_tc075_mh300_ad1,TC18,8,1.8,0.7,0.75,,,300,1,66750.01,-2406.33,4192.24,57.08,False,False,0.2768,0.9912,18379.99,29.29,582842.57,66412.46,29.55,149396994.28,241148.89,15145.36,57.59,9258690233383104.0,10140
