rank,id,tick_net,m1_net,disc_m1_minus_tick,disc_pct,tick_dd_pct,m1_dd_pct,m1_net_nobonus,m1_edge_fixed,m1_closed_lots,m1_winrate,tick_nofill,slm,entries,slgap,maxhold,delay,frac,lock2,final
78,c016,11294.64,26750.95666666729,15456.32,136.8,24.46,16.649250269603453,26323.336666667317,1878.0333333332746,142.53999999999996,64.73988439306359,90,2.1,7,0.5,300,12,0.5,true,TP2
79,c008,11294.64,26750.95666666729,15456.32,136.8,24.46,16.649250269603453,26323.336666667317,1878.0333333332746,142.53999999999996,64.73988439306359,90,2.1,7,0.5,300,12,0.75,true,TP2
80,c097,11209.12,6548.231428571751,-4660.89,-41.6,25.29,21.440198078276058,6246.461428571708,871.3871428570346,100.58999999999999,67.04545454545455,90,2.5,8,0.5,180,0,0.25,false,TP3
81,c141,11209.12,24361.175714285942,13152.06,117.3,25.29,18.141751752148476,24010.835714285786,2484.6371428570055,116.77999999999984,67.61363636363636,90,2.5,8,0.5,180,12,0.25,true,TP3
82,c137,11033.77,27528.79714285792,16495.03,149.5,23.69,15.58993682100639,27102.947142858004,2217.651428571313,141.9500000000001,64.73988439306359,90,2.1,8,0.5,300,12,0.75,false,TP2
83,c117,10542.55,29287.559999999983,18745.01,177.8,25.25,17.34155349759385,28929.179999999986,2131.5199999999895,119.46000000000011,68.57142857142857,90,2.5,6,0.5,240,24,0.75,false,TP2
84,c136,9307.04,27489.447142857243,18182.41,195.4,24.76,16.57154354705825,27139.047142857176,2755.195714285539,116.79999999999984,66.28571428571428,90,2.5,8,0.5,240,24,0.75,false,TP2
85,c129,9280.39,27417.516666666343,18137.13,195.4,26.67,17.190239481789828,27062.16666666653,2304.9399999998714,118.44999999999997,66.28571428571428,90,2.5,7,0.5,240,24,0.5,false,TP2
86,c046,8954.87,20593.990000000107,11639.12,130.0,25.66,19.39098851541512,20261.71000000007,1590.5200000000186,110.76000000000006,67.63005780346822,90,2.5,6,0.5,300,12,0.5,false,TP2
87,c053,8954.87,20593.990000000107,11639.12,130.0,25.66,19.39098851541512,20261.71000000007,1590.5200000000186,110.76000000000006,67.63005780346822,90,2.5,6,0.5,300,12,0.25,false,TP2
88,c007,7622.1,3493.887142857442,-4128.21,-54.2,25.25,21.315164223185377,3207.897142857466,535.6485714284427,95.33000000000004,65.3179190751445,90,2.5,8,0.5,300,0,0.25,false,TP2
89,c088,7622.1,18327.877142857396,10705.78,140.5,25.25,18.858897100945402,18002.797142857253,1979.9885714284028,108.35999999999993,65.89595375722543,90,2.5,8,0.5,300,12,0.25,true,TP2
90,c005,7622.1,18327.877142857396,10705.78,140.5,25.25,18.858897100945402,18002.797142857253,1979.9885714284028,108.35999999999993,65.89595375722543,90,2.5,8,0.5,300,12,0.25,false,TP2
91,c032,7563.87,2864.5366666667687,-4699.33,-62.1,27.16,22.197061096790463,2575.696666666816,391.6899999999878,96.28000000000007,65.3179190751445,90,2.5,7,0.5,300,0,0.75,false,TP2
92,c069,7563.87,18106.90333333313,10543.03,139.4,27.16,19.652920433956638,17778.193333333278,1655.8899999999558,109.56999999999995,65.3179190751445,90,2.5,7,0.5,300,12,0.5,true,TP2
93,c009,3126.36,38927.52999999907,35801.17,1145.1,30.77,12.709452551719853,38404.32999999907,1934.7199999998847,174.39999999999975,63.42857142857142,90,1.9,6,0.5,240,12,0.75,true,TP3
94,c006,3126.36,33553.699999999124,30427.34,973.3,30.77,16.378533411250437,33053.89999999913,1808.8199999999051,166.59999999999985,62.857142857142854,90,1.9,6,0.5,240,12,0.5,false,TP3
95,c001,3126.36,33553.699999999124,30427.34,973.3,30.77,16.378533411250437,33053.89999999913,1808.8199999999051,166.59999999999985,62.857142857142854,90,1.9,6,0.5,240,12,0.25,false,TP3
96,c090,2886.8,28880.82999999881,25994.03,900.4,29.04,18.692462261479758,28478.79999999879,2009.3599999998405,134.0099999999999,65.71428571428571,90,2.3,6,0.5,240,24,0.5,false,TP3
97,c041,2886.8,33215.96999999878,30329.17,1050.6,29.04,16.10170333841036,32806.40999999875,2139.3699999998207,136.51999999999992,66.28571428571428,90,2.3,6,0.5,240,24,0.25,true,TP3
98,c061,1942.69,7257.980000000323,5315.29,273.6,30.4,20.70857981219861,6956.8400000001875,680.2800000000207,100.37999999999982,67.42857142857143,90,2.5,6,0.5,240,0,0.75,true,TP3
99,c083,1892.86,36843.43000000065,34950.57,1846.4,30.56,14.393311669662642,36376.840000000666,2087.2000000000553,155.52999999999992,64.57142857142857,90,2.1,6,0.5,240,24,0.75,true,TP3
