rank,id,tick_net,m1_net,disc_m1_minus_tick,disc_pct,tick_dd_pct,m1_dd_pct,m1_net_nobonus,m1_bonus,m1_edge_fixed,m1_closed_lots,m1_winrate,tick_nofill,slm,entries,slgap,maxhold,delay,frac,lock2,final,rr1,rr2,rr3,bb,rsi_buy,rsi_sell
90,c070,-12498.54,-9106.420000007565,3392.12,27.1,55.95,41.18506190210984,-11603.71000000911,2497.289999999996,322.77999999796157,832.4300000000009,54.111922141119216,425,1.9,6,0.5,300,12,0.75,false,TP2,1,2,3,0.0008,70,30
91,c199,-12523.06,12170.36333333343,24693.42,197.2,68.7,41.39852815144035,9771.113333335641,2399.249999999987,3968.9033333300395,799.7499999999989,54.61883408071749,455,2.3,7,0.3,300,24,0.25,false,TP2,1,2.5,4,0.0006,80,20
92,c052,-12564.47,-2333.2033333332947,10231.27,81.4,71.5,41.666186339881705,-4095.523333333511,1762.319999999987,171.62666666539735,587.4399999999979,55.748792270531396,430,2.5,7,0.5,240,12,0.75,true,TP2,1.2,2.5,5,0.0008,80,20
93,c097,-12582.83,-29764.537142864756,-17181.71,-136.5,95.98,63.00895396138824,-31344.727142864842,1580.190000000032,-7193.790000002118,526.730000000006,52.50481695568401,429,1.9,8,0.3,240,0,0.25,false,TP3,1,2,3,0.0008,75,25
94,c135,-12614.09,-4431.1242857122415,8182.97,64.9,64.72,39.82320852505473,-6607.5042857119915,2176.380000000048,-1072.3157142876953,725.459999999998,57.44866754041066,466,2.3,8,0.5,180,12,0.5,false,TP2,1,2,3,0.0004,80,20
95,c023,-12628.67,17831.169999981037,30459.84,241.2,72.62,39.819922874661025,14452.209999981504,3378.9599999999987,5019.444285711499,1126.320000000002,51.58311345646438,462,1.9,8,0.3,300,24,0.5,true,TP2,1.2,2.5,5,0.0004,70,30
96,c107,-12642.79,-5173.286666660562,7469.5,59.1,50.6,37.351122477518274,-7671.38666665936,2498.1000000000013,373.18999999872904,832.699999999991,55.11210762331839,456,2.1,7,0.3,300,12,0.25,true,TP2,1,2,3,0.0006,80,20
97,c176,-12679.18,16017.289999995963,28696.47,226.3,86.84,37.27296771597644,12548.239999994654,3469.0499999999934,2961.049999998766,1156.3500000000063,52.50723240115719,429,1.7,6,0.5,300,24,0.25,true,TP3,0.8,1.5,3,0.0008,75,25
98,c129,-12707.06,8825.75285714776,21532.81,169.5,96.12,47.12249386352733,6363.382857147839,2462.3700000000385,3329.6600000006074,820.789999999999,52.706935123042506,455,2.1,8,0.3,240,24,0.25,false,TP3,1,2,3,0.0006,100,0
99,c014,-12823.79,13584.10285713819,26407.89,205.9,133.14,46.94213918697179,10098.942857138296,3485.1600000000103,3137.112857141168,1161.7199999999964,47.695749440715886,455,1.5,8,0.3,180,12,0.75,false,TP3,1.2,2.5,5,0.0006,80,20
